Firstname;Secondname;Patronymic;Gender;Mail;Daye of birthday;Country;Phone;Direction;Events;Password;Photo
Селиванов;Тихон;Матвеевич;мужской;2qy9dgnot6cw@outlook.com;04.07.1996;64;7(736)359-21-15;ИТ;IT в бизнесе;222XXtSpa7;foto9.jpg
Иванов;Кирилл;Семёнович;мужской;ta5782yge4q9@outlook.com;08.07.1981;66;7(780)027-80-28;ИТ;IT в бизнесе;2xMj24vBT8;foto10.jpg
Петрова;Вероника;Андреевна;женский;tgiy2aqz0l63@mail.com;02.11.1965;30;7(010)785-41-10;Биг Дата;Разработка приложений;6XUc2a98pY;foto8.jpg
Кузнецов;Фёдор;Макарович;мужской;dsi1b8a5vj9q@outlook.com;24.08.1991;57;7(707)132-81-35;Дизайн;IT-инфраструктура;6Avn58jTU5;foto11.jpg
Пантелеев;Руслан;Васильевич;мужской;wzepb50yj1c4@outlook.com;29.06.1964;72;7(513)669-96-10;Биг Дата;Разработка приложений;d6jV6P7f8M;foto12.jpg
Гаврилов;Тимур;Робертович;мужской;wo7138p05bxf@mail.com;14.08.1984;14;7(893)546-24-30;Аналитика;Стартапы;3b3AYSf69r;foto13.jpg
Смирнов;Даниил;Михайлович;мужской;4o1thvw2fg97@gmail.com;14.04.1972;57;7(734)601-23-18;ИТ;IT в бизнесе;mf9PT8Y96m;foto14.jpg
Кулакова;Стефания;Ивановна;женский;wbkjoi56u0cx@gmail.com;04.04.1979;89;7(052)308-74-92;Информационная безопасность;Информационная безопасность;6sEpL6Yt24;foto16.jpg
Волков;Михаил;Дмитриевич;мужской;g2ureh9iacbq@mail.com;27.04.1983;50;7(549)968-45-54;Биг Дата;Разработка приложений;Rk6s5pVU24;foto17.jpg
Степанов;Давид;Ильич;мужской;7ilhb2nkjda4@mail.com;12.10.1957;85;7(786)943-23-62;Аналитика;Стартапы;s3kVT3Zs68;foto18.jpg
Михайлов;Али;Кириллович;мужской;ew2csziqtvp5@mail.com;23.05.1993;91;7(372)656-09-65;Аналитика;Стартапы;3ZD5Cs2y5v;foto19.jpg
Наумов;Алексей;Викторович;мужской;im6pa0gvscyq@mail.com;08.12.1997;98;7(238)857-64-34;Информационная безопасность;Информационная безопасность;e9rJ429jLP;foto20.jpg
Рожкова;Алиса;Артёмовна;женский;xvhi3s0jza1p@tutanota.com;05.03.1991;33;7(776)493-76-33;Дизайн;IT-инфраструктура;cTd4p87T6B;foto21.jpg
Андреева;Злата;Фёдоровна;женский;lqhgwy8ema2n@tutanota.com;31.10.1982;78;7(014)600-94-48;Дизайн;IT-инфраструктура;3BcnR39Nd8;foto22.jpg
Яковлева;Анна;Дамировна;женский;xzrstfakhnj3@tutanota.com;04.10.1964;61;7(231)843-32-09;Дизайн;IT-инфраструктура;9yeX7U27Ka;foto23.jpg
Спиридонова;Василиса;Максимовна;женский;0r13bh2a4lxy@mail.com;17.07.1969;16;7(496)606-80-00;Информационная безопасность;Информационная безопасность;SCz3Ra4f37;foto24.jpg
Сергеева;Полина;Дмитриевна;женский;ga8liqyfp369@yahoo.com;31.01.1986;70;7(065)497-80-67;Информационная безопасность;Информационная безопасность;ryNBG568v9;foto25.jpg
Соловьев;Данила;Артёмович;мужской;b1ezkis4pqxw@outlook.com;07.09.1959;70;7(907)004-97-65;Биг Дата;Разработка приложений;CU8Cp83k4h;foto26.jpg
Павлов;Константин;Ильич;мужской;c8svxqta2rhf@yahoo.com;14.09.1981;49;7(243)545-29-16;Аналитика;Стартапы;357Pk5hsGZ;foto27.jpg
Болдырева;Анна;Андреевна;женский;ycne3ilaxpoj@mail.com;23.01.1962;69;7(956)552-26-23;Информационная безопасность;Информационная безопасность;z6Bm3F4u9G;foto28.jpg
Волкова;Анна;Егоровна;женский;2wp8khydmre4@gmail.com;26.03.1951;89;7(21)790-27-36;Биг Дата;Разработка приложений;68BgXGuy84;foto29.jpg
