Firstname;Secondname;Patronymic;Mail;Date of birthday;Country;Phone;Password;Photo;Gender
Богданов;Кирилл;Константинович;1g5u3fyiesdw@tutanota.com;10.11.1993;97;7(712)665-36-07;3dzFF7z4S4;foto1.jpg;мужской
Ковалева;Анастасия;Олеговна;fcdyuohxpza0@gmail.com;29.12.1992;44;7(295)637-27-20;5YfY6ay6F6;foto2.jpg;женский
Зимина;Ксения;Глебовна;hiyrketgocn8@yahoo.com;19.07.1998;29;7(520)444-26-69;3PxH55fc5V;foto3.jpg;женский
Ковалева;Анастасия;Данииловна;sf7z0c19egip@outlook.com;14.01.1986;21;7(229)035-09-86;GV9m78mFf9;foto4.jpg;женский
Чернышева;Мария;Георгиевна;z5le0f3r2twy@gmail.com;24.11.1993;97;7(568)897-31-04;J2mSrU65h9;foto5.jpg;женский
Панов;Константин;Глебович;agjemv4725fp@tutanota.com;26.07.1999;96;7(580)567-99-08;8UJR9mx2x3;foto6.jpg;мужской
Грачев;Данил;Дмитриевич;cx8fzvi2mes1@tutanota.com;15.06.1988;97;7(151)116-73-26;8C22fx7JiF;foto7.jpg;мужской
Гордеева;София;Ивановна;wxo8h5q1y2d9@outlook.com;11.01.1981;6;7(056)380-73-66;Gn6Ae84Gu7;foto8.jpg;женский
Золотарев;Егор;Фёдорович;m7a5xijdry1w@outlook.com;02.09.1987;36;7(420)103-02-42;D9y6c25KYh;foto9.jpg;мужской
Столярова;Кристина;Давидовна;6cqk8ug49drl@yahoo.com;12.06.1994;62;7(553)369-09-97;jKx2eU3S89;foto10.jpg;женский
